company,phone,Technology,Announced,Dimensions,Weight,Size,Resolution,OS,Chipset,CPU,GPU,Card_slot,Internal,Primary,Secondary,3point5mm_jack,WLAN,Bluetooth,GPS,USB,Price_group,Stand_by,Talk_time
HTC,HTC Rezound,CDMA / EVDO / LTE,"2011, November",129 x 65.5 x 13.7 mm (5.08 x 2.58 x 0.54 in),170.1 g (6.00 oz),4.3 inches (~60.3% screen-to-body ratio),720 x 1280 pixels (~342 ppi pixel density),"Android OS, v2.3.4 (Gingerbread), upgradable to v4.0 (Ice Cream Sandwich)",Qualcomm MSM8660 Snapdragon S3,Dual-core 1.5 GHz Scorpion,Adreno 220,"microSD, up to 32 GB (dedicated slot), 16 GB included","16 GB, 1 GB RAM","8 MP, autofocus, dual-LED flash",2 MP,Yes,"Wi-Fi 802.11 a/b/g/n, dual-band, DLNA, hotspot","v3.0, A2DP","Yes, with A-GPS",microUSB v2.0 (MHL TV-out),10-Apr,Up to 261 h,Up to 6 h 24 min
HTC,HTC Sensation XL,GSM / HSPA,"2011, October",132.5 x 70.7 x 9.9 mm (5.22 x 2.78 x 0.39 in),162.5 g (5.75 oz),4.7 inches (~67.1% screen-to-body ratio),480 x 800 pixels (~199 ppi pixel density),"Android OS, v2.3 (Gingerbread), upgradable to v4.0 (Ice Cream Sandwich)",Qualcomm MSM8255 Snapdragon S2,1.5 GHz Scorpion,Adreno 205,No,"16 GB, 768 MB RAM","8 MP, autofocus, dual-LED flash, check quality",1.3 MP,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","v3.0, A2DP","Yes, with A-GPS",microUSB v2.0,10-Apr,Up to 360 h (2G) / Up to 460 h (3G),Up to 11 h 50 min (2G) / Up to 6 h 50 min (3G)
HTC,HTC Explorer,GSM / HSPA,"2011, September",102.8 x 57.2 x 12.9 mm (4.05 x 2.25 x 0.51 in),108 g (3.81 oz),3.2 inches (~51.9% screen-to-body ratio),320 x 480 pixels (~180 ppi pixel density),"Android OS, v2.3 (Gingerbread)",Qualcomm MSM7225A Snapdragon S1,600 MHz Cortex A5,Adreno 200,"microSD, up to 32 GB (dedicated slot)","512 MB, 512 MB RAM","3.15 MP, check quality",No,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v3.0, A2DP, EDR","Yes, with A-GPS",microUSB v2.0,10-Feb,Up to 485 h (2G) / Up to 445 h (3G),Up to 7 h 40 min (2G) / Up to 7 h 33 min (3G)
HTC,HTC Rhyme,GSM / HSPA,"2011, September",119 x 60.8 x 10.9 mm (4.69 x 2.39 x 0.43 in),130 g (4.59 oz),3.7 inches (~53.9% screen-to-body ratio),480 x 800 pixels (~252 ppi pixel density),"Android OS, v2.3.4 (Gingerbread), upgradable to v4.0 (Ice Cream Sandwich)",Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,"microSD, up to 32 GB (dedicated slot), 8 GB included","4 GB, 768 MB RAM","5 MP, autofocus, LED flash, check quality",VGA,Yes,"Wi-Fi 802.11 b/g/n, hotspot, DLNA","v3.0, A2DP, EDR","Yes, with A-GPS",microUSB v2.0,10-Mar,Up to 295 h (2G) / Up to 340 h (3G),Up to 10 h 20 min (2G) / Up to 8 h (3G)
HTC,HTC Rhyme CDMA,CDMA / EVDO,"2011, September",119 x 60.8 x 10.9 mm (4.69 x 2.39 x 0.43 in),130 g (4.59 oz),3.7 inches (~53.9% screen-to-body ratio),480 x 800 pixels (~252 ppi pixel density),"Android OS, v2.3 (Gingerbread)",Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,"microSD, up to 32 GB (dedicated slot), 8 GB included","4 GB, 768 MB RAM","5 MP, autofocus, LED flash",VGA,Yes,"Wi-Fi 802.11 b/g/n, hotspot, DLNA","v3.0, A2DP, EDR","Yes, with A-GPS",microUSB v2.0,10-Mar,Up to 410 h,Up to 7 h 20 min
HTC,HTC Sensation XE,GSM / HSPA,"2011, September",126.1 x 65.4 x 11.3 mm (4.96 x 2.57 x 0.44 in),151 g (5.33 oz),4.3 inches (~61.8% screen-to-body ratio),540 x 960 pixels (~256 ppi pixel density),"Android OS, v2.3.4 (Gingerbread), upgradable to v4.0 (Ice Cream Sandwich)",Qualcomm MSM8260 Snapdragon S3,Dual-core 1.5 GHz Scorpion,Adreno 220,"microSD, up to 32 GB (dedicated slot)","4 GB (1 GB user available), 768 MB RAM","8 MP, autofocus, dual-LED flash, check quality",VGA,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","v3.0, A2DP","Yes, with A-GPS",microUSB v2.0 (MHL TV-out),10-Mar,Up to 310 h (2G) / Up to 540 h (3G),Up to 9 h 16 min (2G) / Up to 7 h 20 min (3G)
HTC,HTC Jetstream,GSM / HSPA / LTE,"2011, September",251 x 178 x 13 mm (9.88 x 7.01 x 0.51 in),709 g (1.56 lb),10.1 inches (~66.2% screen-to-body ratio),800 x 1280 pixels (~149 ppi pixel density),"Android OS, v3.1 (Honeycomb)",Qualcomm MSM8260 Snapdragon S3,Dual-core 1.5 GHz Scorpion,Adreno 220,"microSD, up to 32 GB (dedicated slot)","32 GB, 1 GB RAM","8 MP, autofocus, dual-LED flash",1.3 MP,Yes,"Wi-Fi 802.11 b/g/n, hotspot","v3.0, A2DP","Yes, with A-GPS",v2.0,10-Jun,Up to 900 h,Up to 12 h
HTC,HTC Titan,GSM / HSPA,"2011, August",131.5 x 70.7 x 9.9 mm (5.18 x 2.78 x 0.39 in),160 g (5.64 oz),4.7 inches (~67.6% screen-to-body ratio),480 x 800 pixels (~199 ppi pixel density),Microsoft Windows Phone 7.5 Mango,Qualcomm MSM8255 Snapdragon S2,1.5 GHz Scorpion,Adreno 205,No,"16 GB, 512 MB RAM","8 MP, autofocus, dual-LED flash, check quality",1.3 MP,Yes,"Wi-Fi 802.11 b/g/n, DLNA","v2.1, A2DP, EDR","Yes, with A-GPS; Bing Maps",microUSB v2.0,10-Mar,Up to 360 h (2G) / Up to 460 h (3G),Up to 11 h 50 min (2G) / Up to 6 h 50 min (3G)
HTC,HTC Radar,GSM / HSPA,"2011, September",120.5 x 61.5 x 10.9 mm (4.74 x 2.42 x 0.43 in),137 g (4.83 oz),3.8 inches (~55.5% screen-to-body ratio),480 x 800 pixels (~246 ppi pixel density),Microsoft Windows Phone 7.5 Mango,Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,No,"8 GB, 512 MB RAM","5 MP, autofocus, LED flash, check quality",VGA,Yes,"Wi-Fi 802.11 b/g/n, DLNA","v2.1, A2DP, EDR","Yes, with A-GPS; Bing Maps",microUSB v2.0,10-Mar,Up to 480 h (2G) / Up to 535 h (3G),Up to 10 h (2G) / Up to 8 h 5 min (3G)
HTC,HTC Panache,GSM / HSPA,"2011, June",122.2 x 62.5 x 11.1 mm (4.81 x 2.46 x 0.44 in),150 g (5.29 oz),3.8 inches (~53.8% screen-to-body ratio),480 x 800 pixels (~246 ppi pixel density),"Android OS, v2.3 (Gingerbread)",Qualcomm MSM8255 Snapdragon S2,1.0 GHz Scorpion,Adreno 205,"microSD, up to 32 GB (dedicated slot), 8 GB included","8 GB (1.2 GB user available), 768 MB RAM","5 MP, autofocus, LED flash",VGA videocall camera,Yes,"Wi-Fi 802.11 b/g/n, DLNA, hotspot","v2.1, A2DP, EDR","Yes, with A-GPS",microUSB v2.0,10-May,Up to 243 h,Up to 6 h 40 min
